title,company-name,location,type,salary_package,company_requirements
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹15,000 - ₹20,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
CALL CENTER EXECUTIVE,Votiko 24 *7,"Lal Chowk, Srinagar, Jammu and Kashmir",,"₹12,000 - ₹15,000","At least 3 years of experience in an international call center setting.
Are you prepared to start a career path that allows you to work from home while…"
legal Documentation Executive,DDRC Agilus Path Labs Ltd,"Kochi, Kerala",Full-time,,"Pay: ₹20,000.00 - ₹25,000.00 per month.
Locate and develop case relevant information.
Provide administrative support to lawyer and enhance office effectiveness."
Freelance Academic Writer,Simran Shri Shri International Private Limited,Remote,,,"Are you an expert in research and academic writing?
Acadlance is looking for talented academic writers to join our platform and take on numerous tasks all at…"
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",,"₹6,00,000 - ₹10,50,000","Pay: ₹6,000.00 - ₹15,000.00 per month.
WE Need Employee for Product Packaging and maintain Couriers order on daily.
Basic Qualification should be Matric."
Sales Assistant,Neofit Autoware private limited,"Remote in Raniganj, West Bengal",Monday to Friday ,,"Talk to client and provide information about us.
Pay: ₹15,000.00 - ₹20,000.00 per month.
We are looking for a work from home SALES ASSISTANT."
Data Analytics Fresher,RP2,"Kochi, Kerala",,"₹15,000 - ₹20,000",This is an excellent opportunity for recent graduates to kick-start their careers in data analytics by working on real-world projects and learning from…
Customer service,Boost Tech,"Greater Kailash I, Delhi, Delhi",Full-time,,This role as an Executive or Sr. Executive – Lead Optimization at our company offers an exciting opportunity to utilize your tele sales expertise and customer…
Field Recruiter,V k Logistics,"Medinipur, West Bengal",,,"Pay: ₹15,000.00 - ₹30,000.00 per month.
Responsibilities Of Candidates Includes: * Hiring Candidates * Ensuring Business Needs For Hiring Are Met * Must Have…"
Data entry operator cum office runner,Double Klick Designs Pvt. Ltd.,"Okhla, Delhi, Delhi",,"₹25,000 - ₹35,000","Handle external office errands such as delivering documents, collecting supplies, and managing bank-related tasks.
Pay: Up to ₹15,000.00 per month."
legal Documentation Executive,DDRC Agilus Path Labs Ltd,"Kochi, Kerala",,"₹6,00,000 - ₹10,50,000","Locate and develop case relevant information.
Provide administrative support to lawyer and enhance office effectiveness.
Answer and direct phone calls."
Freelance Academic Writer,Simran Shri Shri International Private Limited,Remote,Full-time ,,"Competitive Pay: Earn well for your skills and effort.
Research Proficiency: Conduct thorough and accurate research using reliable sources."
Apollo clinic Staff Nurse Nigdi and Hinjewadi,Apollo Clinic Pune,"Pune, Maharashtra",,"Up to ₹15,000","Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required).
Total work: 1 year (Preferred)."
"Mechanical Maintenance Supervisor (Vadodara,Gujarat)",Bharat Corrub Industries LLP,"Vadodara, Gujarat",Full-time ,,"Rubber industry: 3 years (Preferred).
*Preferable to have worked in Rubber industry*.
Taking care of the entire maintenance department."
Mathematics Tutor (Online),Nestsoft technologies,Remote in India,,"Up to ₹15,000",Details: We are seeking an experienced Mathematics Tutor to provide high-quality tutoring for students from CBSE and ICSE boards up to the Plus Two level.
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"Up to ₹27,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Executive Assistant- Female,Warmex Home Appliances Pvt Ltd.,"Delhi, Delhi",Full-time ,,"Proven experience as an office assistant or in a related role.
Ø Customer Service: Provide exceptional service to clients and visitors, addressing inquiries…"
Dispatch Executive,Bhagat HR Services,"Bhosari, Pune, Maharashtra",,," Packing the material safely in the truck so that it reaches the destination in good condition.
 Identify opportunities for process improvement and implement…"
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"₹20,000 - ₹45,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Engr III Cslt-Full Stack,Verizon3.8,"Bengaluru, Karnataka",,"₹25,000 - ₹30,000","Optimizing components for maximum performance across a vast array of web-capable devices and browsers.
Working with development teams and product managers to…"
Executive Assistant- Female,Warmex Home Appliances Pvt Ltd.,"Delhi, Delhi",,,"Proven experience as an office assistant or in a related role.
Ø Customer Service: Provide exceptional service to clients and visitors, addressing inquiries…"
Executive Assistant- Female,Warmex Home Appliances Pvt Ltd.,"Delhi, Delhi",Full-time,,"Proven experience as an office assistant or in a related role.
Ø Customer Service: Provide exceptional service to clients and visitors, addressing inquiries…"
legal Documentation Executive,DDRC Agilus Path Labs Ltd,"Kochi, Kerala",,"₹25,000 - ₹40,000","Locate and develop case relevant information.
Provide administrative support to lawyer and enhance office effectiveness.
Answer and direct phone calls."
Campus Incharge,Sadhana Infinity International School,"Hyderabad, Telangana",,"₹6,00,000 - ₹10,50,000","Implement actions that improve the school and the quality of education (e.g. building renovations,).
Total work: 3 years (Preferred)."
Freelance Academic Writer,Simran Shri Shri International Private Limited,Remote,,"₹25,000 - ₹40,000","Competitive Pay: Earn well for your skills and effort.
Research Proficiency: Conduct thorough and accurate research using reliable sources."
Campus Incharge,Sadhana Infinity International School,"Hyderabad, Telangana",,,"Implement actions that improve the school and the quality of education (e.g. building renovations,).
Total work: 3 years (Preferred)."
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",,"₹25,000 - ₹40,000","WE Need Employee for Product Packaging and maintain Couriers order on daily.
Employee will have to Operate through System and Paper."
Campus Incharge,Sadhana Infinity International School,"Hyderabad, Telangana",Full-time ,,"Implement actions that improve the school and the quality of education (e.g. building renovations,).
Total work: 3 years (Preferred)."
QA Manual Tester,Stark.Ai,Remote,,,"Their role is to identify potential user issues and help developers find solutions.
Analysis and execution of test cases.
Job Types: Full-time, Permanent."
Sales Assistant,Neofit Autoware private limited,"Remote in Raniganj, West Bengal",,"₹6,00,000 - ₹10,50,000","They have GOOD COMUNICATION SKILL AND BASIC KNOWLEDGE OF COMPUTER.
Manage the sale of company.
CANDIDATES MUST KNOW THE HINDI LANGUAGE."
Customer service,Boost Tech,"Greater Kailash I, Delhi, Delhi",Monday to Friday ,,"Manage inquiries and accurately record customer requests in specified forms, software, and web portals (training will be provided for software and web portal…"
Field Recruiter,V k Logistics,"Medinipur, West Bengal",,"₹15,000 - ₹20,000","Job Types: Full-time, Part-time, Permanent, Freelance.
Higher Secondary(12th Pass) (Preferred).
Total work: 1 year (Preferred)."
Campus Incharge,Sadhana Infinity International School,"Hyderabad, Telangana",,"₹25,000 - ₹40,000","Implement actions that improve the school and the quality of education (e.g. building renovations,).
Total work: 3 years (Preferred)."
Sales Assistant,Neofit Autoware private limited,"Remote in Raniganj, West Bengal",,,"They have GOOD COMUNICATION SKILL AND BASIC KNOWLEDGE OF COMPUTER.
Manage the sale of company.
CANDIDATES MUST KNOW THE HINDI LANGUAGE."
Data Analytics Fresher,RP2,"Kochi, Kerala",,"₹6,00,000 - ₹10,50,000","Mentorship and training from industry experts.
Work Schedule: Monday to Friday, Day shift.
Assist in the design and development of data models and dashboards."
Customer service,Boost Tech,"Greater Kailash I, Delhi, Delhi",Full-time ,,"Manage inquiries and accurately record customer requests in specified forms, software, and web portals (training will be provided for software and web portal…"
Field Recruiter,V k Logistics,"Medinipur, West Bengal",Monday to Friday ,,"Job Types: Full-time, Part-time, Permanent, Freelance.
Higher Secondary(12th Pass) (Preferred).
Total work: 1 year (Preferred)."
Data entry operator cum office runner,Double Klick Designs Pvt. Ltd.,"Okhla, Delhi, Delhi",,"₹15,000 - ₹20,000","Handle external office errands such as delivering documents, collecting supplies, and managing bank-related tasks.
Basic knowledge of office administration."
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",,"₹25,000 - ₹35,000",*Have an energetic and positive attitude to travel to schools and institutions where the company conducts its classes around Mumbai.
legal Documentation Executive,DDRC Agilus Path Labs Ltd,"Kochi, Kerala",,"₹25,000 - ₹40,000","Pay: ₹20,000.00 - ₹25,000.00 per month.
Locate and develop case relevant information.
Provide administrative support to lawyer and enhance office effectiveness."
Freelance Academic Writer,Simran Shri Shri International Private Limited,Remote,Full-time ,,"Are you an expert in research and academic writing?
Acadlance is looking for talented academic writers to join our platform and take on numerous tasks all at…"
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",Full-time ,,"It is an innovative educational program with a strong emphasis on the care of all its students.
*Have an energetic and positive attitude to travel to schools…"
Product Packaging,Vaidya Ashwani Kumar - Ayurvedacharya,"Gaya, Bihar",,"₹25,000 - ₹40,000","Pay: ₹6,000.00 - ₹15,000.00 per month.
WE Need Employee for Product Packaging and maintain Couriers order on daily.
Basic Qualification should be Matric."
QA Manual Tester,Stark.Ai,Remote,,,"Their role is to identify potential user issues and help developers find solutions.
Identifies problems and bugs in software throughout the development cycle…"
Sales Assistant,Neofit Autoware private limited,"Remote in Raniganj, West Bengal",,"₹6,00,000 - ₹10,50,000","Talk to client and provide information about us.
Pay: ₹15,000.00 - ₹20,000.00 per month.
We are looking for a work from home SALES ASSISTANT."
Data Analytics Fresher,RP2,"Kochi, Kerala",Full-time ,,This is an excellent opportunity for recent graduates to kick-start their careers in data analytics by working on real-world projects and learning from…
Customer service,Boost Tech,"Greater Kailash I, Delhi, Delhi",Monday to Friday ,,This role as an Executive or Sr. Executive – Lead Optimization at our company offers an exciting opportunity to utilize your tele sales expertise and customer…
Field Recruiter,V k Logistics,"Medinipur, West Bengal",,"₹15,000 - ₹20,000","Pay: ₹15,000.00 - ₹30,000.00 per month.
Responsibilities Of Candidates Includes: * Hiring Candidates * Ensuring Business Needs For Hiring Are Met * Must Have…"
Data entry operator cum office runner,Double Klick Designs Pvt. Ltd.,"Okhla, Delhi, Delhi",Full-time,,"Handle external office errands such as delivering documents, collecting supplies, and managing bank-related tasks.
Pay: Up to ₹15,000.00 per month."
Computer Operator,RP Infraventure,"Sanjay Place, Agra, Uttar Pradesh",,"₹25,000 - ₹35,000",Min. Experience : 02 to 03 Yrs.
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"Up to ₹15,000","Pay: ₹10,000.00 - ₹30,000.00 per month.
HERE IS AN URGENT REQUIREMENT FOR GRAPHIC DESIGNER IN REPUTED PHARMA IN MOHALI LOCATION."
Computer Operator,RP Infraventure,"Sanjay Place, Agra, Uttar Pradesh",,"₹25,000 - ₹35,000",No. of vacancy : 1 Qualification : Inter / Graduation Min. Experience : 02 to 03…
Primary Science & Maths Teacher - Pune,Orchids The International School3.1,"Manjri, Pune, Maharashtra",Full-time,,"Keep an eye on the behavior and psychology of the students to understand any downfalls.
Encourage student involvement in lessons and other activities related to…"
